year,taz,hs,hs_sf,hs_mf,hs_mh,hh,hh_sf,hh_mf,hh_mh,gq_civ,gq_mil,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,hhs,pop,hhp,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,adultschenrl,ech_dist,hch_dist,pseudomsa,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,zip09,parkactive,openspaceparkpreserve,beachactive,budgetroom,economyroom,luxuryroom,midpriceroom,upscaleroom,hotelroomtotal,luz_id,truckregiontype,district27,milestocoast,acres,effective_acres,land_acres,MicroAccessTime,remoteAVParking,refueling_stations,units,vacancy,unoccupiable,vacancy_rate,elem_population,high_population,10 to 14,15 to 17,18 and 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,5 to 9,50 to 54,55 to 59,60 and 61,62 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and Older,Under 5,American Indian,Asian,Black,Hispanic,Other,Pacific Islander,Two or More,White,Female,Male
2016,53370775,1190554,717626,430716,42212,1134848,687509,407158,40181,63014,43285,105777,146481,146131,129043,112223,148786,111036,65961,78290,91120,50349.625,3309509,3203210,9300,8172,2854,2731,4477,53987,18485,48706,60528,46625,36183,156612,260251,114226,33061,111731,199700,26661,45639,33094,131594,42463,0,16471,18816,11454,126948,9327,16323,0,0,0,0,0,1646419,376909,177633,101654,228307,82663,9771622502,9867696102,107196,88810,102454,197392,1547.0,3,134629,260898,5763.0,125682,251942,4101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6231.4363,1351368.37,1381.205,5183,5943,17062,15396,13062,56646,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,2333475,5,699,1190555.0,55706.0,39371.0,26580.152697076726,662084.0,229839.0,210754.0,131726.0,98113.0,261615.0,219565.0,230997.0,224530.0,205180.0,210566.0,229366.0,208825.0,208677.0,77858.0,106892.0,154687.0,110746.0,77951.0,55008.0,64490.0,221964.0,15013.0,359333.0,147802.0,1133247.0,7292.0,14569.0,110607.0,1521647.0,1645779.0,1663731.0
2018,53370775,1205852,721197,442548,42107,1147635,690662,416984,39989,69372,46797,106285,138937,138034,126518,111790,152017,115582,73560,78859,106053,50195.554,3353437,3237268,9616,6317,2120,2758,4694,58163,19876,50313,62548,48228,37415,161823,271500,116194,33831,115849,206625,28188,47191,34216,136111,43283,0,17132,19410,11841,127708,9643,16903,0,0,0,0,0,1699496,376909,177633,103906,228307,82663,9771622502,9867696102,107196,88810,143426,238364,1547.0,3,175601,301870,5763.0,166654,292914,4101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6469.4056,1353765.3597,1377.364,5674,6490,18650,16823,14280,61917,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,2333475,5,699,1205851.0,58217.0,39174.0,31452.86141882742,640479.0,228151.0,207033.0,117154.0,110997.0,288295.0,243214.0,250060.0,239872.0,197824.0,201229.0,225763.0,196187.0,208176.0,77859.0,109130.0,153252.0,120071.0,79793.0,53053.0,66791.0,207683.0,21780.0,428237.0,168467.0,1093476.0,7880.0,14271.0,108301.0,1511024.0,1662764.0,1690672.0
2020,53370775,1226462,722838,461517,42107,1166240,692841,433380,40019,72056,48307,107961,140159,139165,128041,113374,154651,118033,75467,81329,108060,49955.312,3383955,3263592,9617,6335,2123,2760,4694,58253,19917,50309,62552,48252,37423,161823,271877,116312,33960,116281,206789,28196,47201,34218,136169,43280,0,17429,19413,11841,131042,9642,16901,0,0,0,0,0,1704609,376909,177633,108410,228307,82663,9771622502,9867696102,107196,88810,148186,243124,1547.0,3,180361,306630,5763.0,171414,297674,4101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6469.4056,1353765.3597,1377.364,5674,6490,18650,16823,14280,61917,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,2333475,5,699,1226461.0,60222.0,39174.0,30028.60214024687,640086.0,233419.0,215431.0,121497.0,111922.0,283419.0,243970.0,241794.0,247198.0,209282.0,189575.0,226234.0,196755.0,200601.0,81318.0,111760.0,161370.0,133118.0,86210.0,55868.0,68211.0,198421.0,22212.0,447328.0,168837.0,1110869.0,8072.0,14281.0,111771.0,1500584.0,1676160.0,1707794.0
2023,53370775,1262957,726724,494126,42107,1197072,696655,460274,40143,73875,50572,110744,142278,141141,130611,116022,159000,122041,78561,85314,111360,50080.065,3434113,3309666,9806,6198,2088,2794,4812,59826,20507,51217,63636,49195,38135,164519,278537,117424,34921,119200,210862,28886,48089,34849,138777,44006,0,18104,19752,12059,135458,9815,17208,0,0,0,0,0,1740680,376909,177633,115166,228307,82663,9771622502,9867696102,107196,88810,172939,267877,1547.0,3,205114,331383,5763.0,196167,322427,4101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6497.88424,1353892.23498,1377.81808,5841,6678,19189,17308,14694,63707,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,2049556,5,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,53370775,1288217,728371,517739,42107,1219745,698560,481026,40159,74447,51327,112793,143896,142657,132532,117981,162188,124956,80796,88176,113770,50090.082,3470849,3345075,9907,6101,2062,2803,4875,60690,20755,51745,64301,49758,38559,166423,282767,118024,35384,121014,213387,29216,48635,35283,140398,44413,0,18314,19972,12195,138402,9916,17402,0,0,0,0,0,1762701,376909,177633,119670,228307,82663,9771622502,9867696102,107196,88810,189713,284651,8841.436953358,3,221888,348157,81150.729122319,212941,339201,55385.810190870994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6516.87,1353976.8185,1378.1208,5944,6801,19547,17627,14970,64889,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,1288216.0,68472.0,39174.0,49613.46692850974,615984.0,256587.0,226660.0,133830.0,122757.0,298760.0,236350.0,238823.0,232949.0,240053.0,199219.0,203277.0,182103.0,187449.0,74932.0,115373.0,179728.0,150685.0,119209.0,70347.0,72297.0,186047.0,23405.0,495065.0,169421.0,1171494.0,8488.0,14442.0,121859.0,1466674.0,1713620.0,1757228.0
2026,53370775,1300847,729354,529386,42107,1231007,699431,491412,40164,74733,51327,113810,144681,143390,133477,118950,163775,126414,81919,89619,114972,50107.14,3488258,3362198,9981,6118,2063,2835,4899,61267,20938,52173,64864,50224,38910,167860,285895,118630,35635,122278,215405,29497,49073,35604,141721,44723,0,18386,20152,12310,138628,9999,17563,0,0,0,0,0,1777631,376909,177633,121369,228307,82663,9771622502,9867696102,107196,88810,201808,296746,8841.436953358,3,233983,360252,81150.729122319,225036,351296,55385.810190870994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6525.65902,1354034.3009,1378.1208,5980,6849,19699,17764,15084,65379,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,53370775,1338737,730943,565687,42107,1264151,701159,522824,40168,75591,51327,116491,146727,145339,136130,121761,168480,130806,85396,94092,118929,49666.844,3537297,3410379,10306,6270,2121,2980,5009,63278,21829,53660,66708,51722,40059,172641,295630,121094,36854,126315,221938,30580,50513,36600,145907,45972,0,19216,20704,12656,139310,10296,18066,0,0,0,0,0,1828234,376909,177633,126466,228307,82663,9771622502,9867696102,107196,88810,239141,334079,8841.436953358,3,271316,397585,81150.729122319,262369,388629,55385.810190870994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6552.02608,1354206.7481,1378.1208,6139,7021,20159,18183,15439,66938,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,53370775,1351367,731412,577848,42107,1274948,701620,533159,40169,75877,51327,116868,147628,146353,137131,122755,169958,132024,86349,95143,120739,49538.87,3552486,3425282,10380,6287,2122,3012,5033,63855,22012,54088,67271,52188,40410,174078,298758,121700,37105,127579,223956,30861,50951,36921,147230,46282,0,19288,20884,12771,139536,10379,18227,0,0,0,0,0,1843164,376909,177633,128165,228307,82663,9771622502,9867696102,107196,88810,251413,346351,8841.436953358,3,283588,409857,81150.729122319,274641,400901,55385.810190870994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6560.8151,1354264.2305,1378.1208,6175,7069,20311,18320,15553,67428,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,1351366.0,76419.0,39174.0,46000.59782278061,573245.0,266143.0,203084.0,134479.0,131664.0,323204.0,257308.0,231489.0,230085.0,225961.0,229259.0,194791.0,192332.0,174524.0,76201.0,102186.0,178318.0,169246.0,137803.0,101741.0,83440.0,175370.0,24461.0,540713.0,169354.0,1238717.0,8924.0,14583.0,132110.0,1423623.0,1755124.0,1797361.0
2032,53370775,1376162,732534,601521,42107,1296193,702540,553480,40173,76043,51327,117557,149374,148330,139087,124707,172869,134430,88242,97231,124366,49166.232,3580821,3453451,10555,6332,2118,3032,5144,65095,22434,54994,68383,53132,41131,177037,304869,123196,37739,129724,228072,31425,51853,37582,149902,46992,0,19498,21244,12998,139986,10567,18536,0,0,0,0,0,1873570,376909,177633,129343,228307,82663,9771622502,9867696102,107196,88810,275364,370302,8841.436953358,3,307539,433808,81150.729122319,298592,424852,55385.810190870994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6590.24558,1354381.8869,1377.07316,6242,7151,20555,18546,15738,68233,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,53370775,1409867,734934,632826,42107,1327588,704257,583158,40173,76292,51327,118472,151895,151213,141949,127585,177177,138003,91077,100358,129859,48653.057,3620349,3492730,10851,6472,2140,3082,5328,67076,23264,56445,70173,54607,42248,181656,314427,125633,38998,133084,234502,32468,53264,38587,154036,48168,0,20223,21799,13346,140662,10866,19007,0,0,0,0,0,1922412,376909,177633,131110,228307,82663,9771622502,9867696102,107196,88810,311773,406711,13912.945486535,3,343948,470217,105639.66417342,335001,461261,67791.85682146701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6634.3913,1354558.3715,1375.5017,6361,7284,20919,18870,16020,69454,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,1409866.0,82279.0,39174.0,44550.73233763742,554103.0,241175.0,198021.0,119872.0,121303.0,330553.0,283504.0,255145.0,221464.0,223376.0,215450.0,183507.0,220860.0,184621.0,65946.0,100152.0,167285.0,168245.0,155599.0,118424.0,114446.0,172575.0,25475.0,583877.0,168652.0,1303640.0,9313.0,14575.0,142199.0,1372617.0,1791723.0,1828625.0
2040,53370775,1443635,737896,663632,42107,1348283,706499,601608,40176,76292,51327,116721,152219,152250,143219,129308,180164,140743,93796,103361,136502,48912.748,3676177,3548558,11254,6556,2197,3094,5626,70263,24020,58446,72615,56688,43822,188067,328132,128806,40049,136790,243603,33681,55240,40010,159880,49940,0,20595,22580,13833,141622,11228,19719,0,0,0,0,0,1988356,376909,177633,131110,228307,82663,9771622502,9867696102,107196,88810,258484,336166,13912.945486535,3,285469,389481,105639.66417342,278174,382176,67791.85682146701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6654.5363,1354522.965,1375.5017,6506,7443,21375,19280,16367,70971,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,1443634.0,95352.0,39174.0,47911.696451481075,541272.0,239154.0,185166.0,120741.0,118413.0,305742.0,288836.0,281445.0,246240.0,214686.0,212943.0,179101.0,207566.0,211660.0,77883.0,98450.0,155897.0,158661.0,155098.0,135182.0,145461.0,177005.0,26525.0,626972.0,166946.0,1369592.0,9579.0,14456.0,151599.0,1310507.0,1817497.0,1858679.0
2045,53370775,1460856,738005,680744,42107,1364815,707948,616679,40188,76292,51327,114510,152017,152779,144021,130624,182603,143065,96261,106083,142852,49065.076,3719689,3592070,11601,6733,2231,3201,5788,72906,24777,60105,74743,58497,45183,193541,339912,131727,41177,139748,251540,34791,56948,41238,164956,51407,0,20988,23246,14256,142449,11556,20310,0,0,0,0,0,2045555,376909,177633,131110,228307,82663,9771622502,9867696102,107196,88810,214620,278293,13912.945486535,3,237392,323256,105639.66417342,231447,317305,67791.85682146701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6681.0636,1354597.1733,1375.5017,6609,7569,21740,19617,16654,72189,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,1460855.0,96041.0,39174.0,42146.908741055115,545539.0,226459.0,179548.0,111312.0,115147.0,305251.0,261688.0,286064.0,271815.0,239487.0,204996.0,184146.0,205317.0,198855.0,83396.0,118617.0,166067.0,148203.0,147782.0,135020.0,175132.0,181845.0,27360.0,669180.0,164404.0,1432019.0,9745.0,14195.0,160536.0,1242249.0,1837812.0,1881876.0
2050,53370775,1471300,738133,691060,42107,1374841,708722,625915,40204,76292,51327,111682,151051,152554,144118,131312,184173,144717,98293,108329,148612,49079.012,3746077,3618458,11852,6925,2298,3288,5897,74709,25462,61255,76248,59822,46169,197391,348620,133845,42260,141667,257413,35651,58183,42123,168668,52407,0,21216,23742,14557,143043,11773,20724,0,0,0,0,0,2087208,376909,177633,131110,228307,82663,9771622502,9867696102,107196,88810,178823,231027,26469.122072644997,3,198119,269145,151919.43573449,193273,264296,92589.200764046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117400902,6751.1711000000005,1354789.3166,1375.5017,6715,7688,22082,19920,16914,73319,2431123,23002,221100,245307.3086,2727204.12885924,1251248.662188895,2698588.51590879,1688220,5,699,1471299.0,96459.0,39174.0,38960.32500495996,551317.0,220830.0,184721.0,109911.0,110919.0,291483.0,261380.0,257872.0,276419.0,264575.0,229457.0,188999.0,197498.0,196875.0,76789.0,113122.0,190582.0,158591.0,138351.0,130040.0,190895.0,177597.0,27975.0,708905.0,160422.0,1485517.0,9884.0,13945.0,168435.0,1170993.0,1852841.0,1893235.0
